,Term,frequency
615,conversation,9
1824,merch,9
457,center,9
2710,stand,9
2132,piece,9
3009,tune,9
3041,use,9
3017,tweet,9
3137,weekend,9
3171,winter,9
987,fall,9
233,billboard,9
1399,icon,9
2672,soundtrack,9
591,compassion,9
3091,voice,9
992,fan,9
1605,ladies,8
2271,pt,8
823,donation,8
2212,premiere,8
835,download,8
891,election,8
262,blood,8
2769,style,8
1298,heard,8
3092,voices,8
2055,partner,8
1265,hands,8
2613,singing,8
2017,outfit,8
1693,livestream,8
2202,pray,8
1075,foot,8
2014,oscars,8
2413,review,8
2092,performances,8
2686,speech,8
2078,peace,8
112,artpop,8
200,beauty,8
2748,stories,8
2890,thats,8
621,cool,8
2220,president,8
2316,radio,8
1003,father,8
2905,thoughts,8
3164,win,8
2528,season,8
2806,survivors,8
1523,joy,8
1155,germanotta,8
2588,shot,8
2013,oscar,8
304,brandon,7
1634,leader,7
106,article,7
2981,tree,7
382,call,7
1365,hour,7
3060,version,7
308,brave,7
990,families,7
1943,nature,7
2989,tribute,7
3071,videos,7
1131,game,7
1373,ht,7
110,artists,7
1558,kids,7
2047,park,7
1812,meet,7
932,era,7
1022,feels,7
2565,shades,7
598,concert,7
2830,take,7
2203,prayer,7
2370,release,7
666,crew,7
1012,fear,7
3113,wang,7
1257,halftime,7
253,bless,7
1745,magazine,7
2538,self,7
2782,suit,7
717,david,7
694,dad,7
1284,hate,7
1286,hats,7
291,bowie,7
2498,sarahtannomakeup,7
2792,super,7
1481,jackson,7
497,chicago,7
897,em,7
695,daddy,6
2204,prayers,6
1852,min,6
1822,men,6
3049,variety,6
2834,talent,6
1204,gotta,6
1845,midnight,6
675,culture,6
726,deal,6
1818,members,6
2835,talk,6
680,cure,6
2496,sang,6
2568,shame,6
624,cooper,6
2745,stop,6
2978,treacy,6
2158,play,6
812,dog,6
1797,matter,6
448,ceilin,6
2935,tom,6
1682,lip,6
1657,lets,6
2222,press,6
3235,yoga,6
1806,means,6
417,care,6
1658,letter,6
821,donate,6
768,diamond,6
762,details,6
1512,joe,6
841,dreams,6
1967,nominations,6
2696,spread,6
2595,shows,6
1466,isabella,6
931,equality,6
2003,ones,6
310,bravery,6
309,braver,6
2405,restaurant,6
2606,silver,6
1442,instagram,6
2738,stevie,6
3077,vine,6
3187,wonderland,6
3114,wanna,6
295,boy,6
1437,inspiration,6
2721,state,6
296,boys,6
2416,revolution,6
1372,hrs,6
2723,states,6
895,elton,6
1759,manager,6
911,end,6
1983,nyc,6
1960,nights,6
2631,slimane,5
2586,shop,5
904,emotion,5
1636,leadership,5
2600,sign,5
1030,field,5
3105,wah,5
2584,shoes,5
317,breath,5
3079,vinoodh,5
649,couture,5
1510,job,5
1319,hey,5
199,beautiful,5
2377,reminder,5
452,celebration,5
2451,role,5
2385,report,5
1585,knight,5
575,college,5
2073,paws,5
3138,weeks,5
2249,products,5
1423,inez,5
1795,matt,5
277,book,5
2230,prince,5
