,id,created_at,text,clean_text,cleaned_word_list
24,1235341776795422720,2020-03-04 23:10:05,b'NBCUniversal has sold $1.25 billion in ads for the Olympics in Tokyo this summer. If the media giant is anxious abo\xe2\x80\xa6 https://t.co/aSum7ePsP3',nbcuniversal has sold       billion in ads for the olympics in tokyo this summer  if the media giant is anxious abo     ,nbcuniversal sell bil ad olymp tokyo sum med giant anxy abo
25,1235339282279272449,2020-03-04 23:00:11,"b'In a rare rebuke, Chief Justice John Roberts condemned remarks by Senator Chuck Schumer attacking President Trump\xe2\x80\x99s\xe2\x80\xa6 https://t.co/9P3TTsWY7R'",in a rare rebuke  chief justice john roberts condemned remarks by senator chuck schumer attacking president trump        ,rar rebuk chief just john robert condemn remark sen chuck schumer attack presid trump
26,1235335782623215617,2020-03-04 22:46:16,"b'The House approved $8.3 billion in emergency aid to combat the coronavirus. The bipartisan package, which includes\xe2\x80\xa6 https://t.co/dssmkDhcpi'",the house approved      billion in emergency aid to combat the coronavirus  the bipartisan package  which includes     ,hous approv bil emerg aid comb coronavir bipart pack includ
27,1235334236879671297,2020-03-04 22:40:08,"b'Joe Biden won the Texas Democratic primary, his most significant win of the 2020 primary season, with support from\xe2\x80\xa6 https://t.co/PwRkJoGHz6'",joe biden won the texas democratic primary  his most significant win of the      primary season  with support from     ,joe bid texa democr prim sign win prim season support
28,1235331403300196352,2020-03-04 22:28:52,"b'RT @jmartNYT: Perhaps the biggest non-presidential moment of the 2020 cycle is upon is. \n\nAnd after months of saying he would not run, @Gov\xe2\x80\xa6'",rt    perhaps the biggest non presidential moment of the      cycle is upon is     after months of saying he would not run      ,rt perhap biggest non presid mom cyc upon month say would run
29,1235329186555990018,2020-03-04 22:20:04,"b'""This was a solid night for Bernie Sanders."" Politics reporter @AlexBurnsNYT explains why, even though Joe Biden wo\xe2\x80\xa6 https://t.co/3aCVZisFq1'", this was a solid night for bernie sanders   politics reporter   explains why  even though joe biden wo     ,solid night berny sand polit report explain ev though joe bid wo
30,1235326673513480204,2020-03-04 22:10:04,"b'Volodymyr Zelensky, Ukraine\xe2\x80\x99s president, fired his cabinet on Wednesday after suggesting that they had become overl\xe2\x80\xa6 https://t.co/2ff6QPtpuJ'",volodymyr zelensky  ukraine    president  fired his cabinet on wednesday after suggesting that they had become overl     ,volodymyr zelensky ukrain presid fir cabinet wednesday suggest becom overl
31,1235324166863282176,2020-03-04 22:00:07,"b'People are rewatching the star-studded 2011 thriller ""Contagion"" as the coronavirus outbreak continues. ""It felt li\xe2\x80\xa6 https://t.co/Ymt3Ei22q9'",people are rewatching the star studded      thriller  contagion  as the coronavirus outbreak continues   it felt li     ,peopl rewatch star stud thriller cont coronavir outbreak continu felt li
32,1235321635416264705,2020-03-04 21:50:03,"b'Bernie Sanders delivered a striking assessment of his campaign on Wednesday, saying he was \xe2\x80\x9cdisappointed\xe2\x80\x9d with the\xe2\x80\xa6 https://t.co/iM30ZTiGqO'",bernie sanders delivered a striking assessment of his campaign on wednesday  saying he was        with the     ,berny sand del strike assess campaign wednesday say
33,1235319134294093827,2020-03-04 21:40:07,b'The Taliban have resumed attacks against Afghan forces soon after\xc2\xa0signing a deal to end their war with the U.S. mil\xe2\x80\xa6 https://t.co/ZG5NkTv33B',the taliban have resumed attacks against afghan forces soon after   a deal to end their war with the u s  mil     ,talib resum attack afgh forc soon deal end war mil
34,1235316624342818816,2020-03-04 21:30:08,"b""Gov. Steve Bullock of Montana is poised to run for Senate after months of insisting he wouldn't, according to 3 Dem\xe2\x80\xa6 https://t.co/Oxw3urseLZ""",gov  steve bullock of montana is poised to run for senate after months of insisting he wouldn t  according to   dem     ,gov stev bullock montan pois run sen month insist accord dem
35,1235316020446978051,2020-03-04 21:27:44,"b'RT @NYTSports: Five years after a bad crash left him unable to play, Josh Speidel finally got his shot. He did not miss.\xc2\xa0 https://t.co/wUW0\xe2\x80\xa6'",rt    five years after a bad crash left him unable to play  josh speidel finally got his shot  he did not miss        ,rt fiv year bad crash leave un play josh speidel fin get shoot miss
36,1235314397297418241,2020-03-04 21:21:18,"b'Breaking News: The S&amp;P 500 rose more than 4 percent, bouncing back after a steep drop as investors reacted to Joe B\xe2\x80\xa6 https://t.co/EGBVZ5KWNO'",breaking news  the s amp p     rose more than   percent  bouncing back after a steep drop as investors reacted to joe b     ,break new amp ros perc bount back steep drop invest react joe
37,1235314090496716800,2020-03-04 21:20:04,"b""President Trump responded to criticism over his administration's response to the coronavirus by pointing to testing\xe2\x80\xa6 https://t.co/2RwSCA3DBv""",president trump responded to criticism over his administration s response to the coronavirus by pointing to testing     ,presid trump respond crit admin respons coronavir point test
38,1235312087536144386,2020-03-04 21:12:07,"b'Joe Biden clinched the Maine primary, edging out Bernie Sanders for his 10th Super Tuesday win\nhttps://t.co/bnkOdpbj8J'",joe biden clinched the maine primary  edging out bernie sanders for his   th super tuesday win    t co bnkodpbj j,joe bid clinch main prim edg berny sand th sup tuesday win co bnkodpbj
39,1235309082598412290,2020-03-04 21:00:10,b'The U.S. Supreme Court began hearing arguments today in a major abortion case that could leave the state of Louisia\xe2\x80\xa6 https://t.co/j81bwDynnO',the u s  supreme court began hearing arguments today in a major abortion case that could leave the state of louisia     ,suprem court beg hear argu today maj abort cas could leav stat louis
40,1235306531203186688,2020-03-04 20:50:02,"b'Simon &amp; Schuster, the publishing powerhouse behind best-selling authors like Stephen King, Ursula K. Le Guin and Ju\xe2\x80\xa6 https://t.co/gJ94YFHPa4'",simon  amp  schuster  the publishing powerhouse behind best selling authors like stephen king  ursula k  le guin and ju     ,simon amp schuster publ powerh behind best sel auth lik steph king ursul le guin ju
