screen_name,followers,friends,total_tweets
habtamuhailese5,2,109,0

coral_cys,1,96,6

OmariKinyua,132,647,300

semisemisep,2,35,100

gh2tomato,9,150,16

n2zav,11,72,549

hehuabin559,8,259,7

infamousaditya,38,328,94

CollinDougharty,0,16,2

BrandonCee,356,1077,19239

EdgarIntegrador,3,32,97

MahenniF,1,43,0

LucianoErry,2,49,1

Mia202018,2,97,0

shaykh_zubair,8,91,17

AyoubArbi8,1,22,0

Jordan78968846,2,31,0

AnastasiaClaus1,1,23,0

SteveWe76595590,0,12,0

AmbalySubir,4,129,0

AveHeather,1,13,0

AaronFr91418093,9,234,0

zturkalj,1,14,79

Kody_bonzo,293,291,2501

lois_margarita,7,96,406

AlhroobThabet,3,122,78

A_Puent,2,9,0

sunflowerjacks1,0,39,1

akash_kemi,2,23,0

haruncgrn2,1,17,40

Elton65431481,0,38,0

RAJEEV12905676,1,45,0

craigwwinter,45,131,23

Tribefan4192,58,231,1504

Toputofodasse,1,16,27

bryceizdabeast,7,291,0

kikibiciforwin,1,48,3

B_mentioned,7,188,1

chandler4prez,1134,692,23231

LauraBeresford1,280,432,393

Scrappy_Gamer,7,34,10

Wavyface1,7,257,0

dg2620,179,4734,335

Alex87080209,2,205,0

Danish12196,5,24,0

cubbieboy17,1,58,13

karthiksayz,98,237,265

CvnFvv,0,80,5

MissKiri,2,26,1

BenzaamaZ,13,99,37

ABUBAKARYAR1,1,66,0

VladButnariu,56,185,30

KokoDino19,0,13,1

LeylaLzz,4,48,0

Samson12314,3,26,4

om_ingole,10,68,6

Elizabe97490543,0,13,0

mamamilktruck,0,39,7

Colby73504536,0,30,0

dellapiazza009,123,1499,673

Alejand74577341,9,138,32

PaulGrewal14,2,34,0

Meinista,114,610,807

Ynos90d1XwnSMmj,0,18,0

SnoopyyPP,0,19,0

AurelienMascia,0,23,0

ProgramingAicha,31,428,25

Kaushal26058302,0,120,0

MaxThieng,0,17,1

RibbeBernardo,8,18,1

MShitalaprasad,7,30,64

PSzRichard,7,210,7

adonay_flavio,2,27,3

0wiSWlpJ06dPbIb,0,88,0

zeeshanzeus,18,34,12

arigamer80,2,69,16

AyushPa04322363,1,38,0

calledIt6,0,32,2

Salnel005,13,171,86

anthony05agc,28,74,71

Matthew44912694,0,74,1

shammasulzaman,23,520,0

TheSmokingGun5,2,34,1

MRPRESI29789131,0,78,0

mahalepravin58,0,49,0

YiitnderKara1,1,44,0

NIRANJANVAIDYA9,0,91,0

WCLAYTON77,7,183,28

kfred614,5,162,22

rahulsawant076,4,84,17

VViyaas,2,117,0

RajTheja1,1,73,1

TruckerBill6,3,71,0

Richard26386414,2,48,0

polarpigs,1,36,6

hazydance,10,4,20

emmafschlueter,0,10,0

GustHecke,7,126,123

ricardo82551627,6,131,0

FrancisKwekuEs2,16,303,2

Leo05631004,1,56,2

QinJiaqi,5,130,4

MehmetHasan93,1,17,0

DaouadiKhairi,349,4828,58

NewEra79138682,0,31,0

Filip60425363,1,10,1

AndrewHaugen8,1,14,0

BoobooRacing,18,351,32

DawitJoseph,1,16,0

Da8Menjivar,1,28,0

dizzlelad69,0,17,0

princesai2658,15,685,13

JooSant57363163,1,68,0

ros3dacier,0,75,0

desaikalpesh40,1,53,0

anthonyortale,213,392,8538

Erick31483462,0,85,0

IvanTsekov2,0,10,1

jovontewilson17,5,155,0

Mike_Branney,268,971,1155

neilbridgman,1087,992,1940

ManuelThediaman,56,1799,507

ArdianaVardhami,5,112,0

YRobbi3,1,35,1

EvanShorey,5,62,0

huzunagac7,4,46,0

ImenRose27,3,49,0

FinchSparrow1,0,69,0

Simphiw72218397,0,8,0

Mozibor09340500,0,1,1

terrina_a,0,5,0

AndreiPussa,0,3,50

Alex258600875,1,67,0

_joaosantin,32,82,12

eylulbuse1,2,33,0

drwwwg,20,234,201

EagleSmartMoney,11,43,5

collinrezuan,1,14,2

Michael56715470,1,12,1

muratdogan1205,3,50,4

DelfinaMolina20,1,20,10

scottra63663379,0,6,0

MANGESH23271367,0,55,0

_anirudh___,15,86,17

ShaneMu06092364,1,19,0

Samuelfarai,103,132,73

soniajasujamd,184,496,125

Mestkawyy,3,63,0

CirIiya,2,106,0

codycuellar,121,182,213

gabi49206967,2,38,0

PraveenKumbar15,8,65,0

Filtroil,112,125,136

chappie_henry,0,16,0

kalei_kat,0,16,0

daniiiyang,1,39,0

luluz60567598,1,43,0

NikunjG35871323,0,36,0

GetLowWitMe,2,113,8

Sara07247438,1,13,0

bismita_dr,5,42,0

KedzMerina,14,40,5

davidweng2000,1,54,1

Akanksh53857818,1,55,0

Famouus95,7,362,0

MasonArndt,28,95,1

binbin_1819,6,43,2

inthaice,0,21,0

Tm79619596,4,100,0

SPrince1999,88,2228,826

JonLaw77819523,0,15,0

AlexeiRozenberg,7,35,8

Brithne46424916,1,38,0

sujaygaikwad5,1,100,0

SarlangueTomas,681,216,962

Jodie41843114,0,42,0

adyar_rakshith,1,40,1

Chenmike9,2,78,52

acv1081,10,20,5

eum821,4,5,78

bOqiGgxsjF2xxKQ,0,23,0

FantasyleagueD,0,59,0

AStafrin,3,15,0

TeddyGra5am,2,132,0

tlelling,81,360,684

BurhanTaracar,6,31,9

DavidSm17715434,1,16,69

ImVenkateshKH,22,1062,2

Dmoney80340063,0,5,0

jackson_rona,15,563,0

Useless93151419,1,117,0

Lonesta49141722,1,103,0

ggg16gg,2,95,0

michaelshao19,0,22,0

jyothi_nagella,3,48,0

alx_vac,2,541,11

Rebekah78887453,1,118,2

olsona79,1,7,0

FrenaudJ,0,27,0

Neelsha52882569,5,168,0

Communism1337,1,16,12

Dilshaniii,2,80,8

gawande_rohini,0,100,0

DaniyalKhanDur1,0,15,0

DanccMan,0,26,0

SlayPhillip,0,8,0

numberoneHAMfan,48,79,900

ViolaineSoubri1,1,103,0

Catheri52971559,1,15,0

GratefulJo,3,84,22

osama94z,1,197,0

SajLibtard,0,89,3

YiyiYou1,0,15,0

Poornac64491130,1,111,0

Andruw60360720,3,63,6

Vladisl39599084,0,3,0

AngelRi74736478,0,48,0

TthTams00735090,0,8,0

HarshNanwani10,2,84,0

IzayahDavis2,0,84,5

KumarMalasi,0,32,1

Manjunath1935,1,162,1

AmitSon99088335,1,5,3

bbkambar,6,149,0

DhanoaGurmilap,0,12,1

brady_mat_75,336,423,698

Via09141,0,59,0

kc49236024,0,400,0

ConnorGarrettB1,4,107,70

AmolK30,9,117,26

Paul06437530,1,26,0

OxfordDestiny,1,17,2

adkcurtis,1205,1005,2636

DDeepu46,26,170,2

BeeboutCarolyn,0,3,7

KingKun27272522,0,8,0

jasonj_03,6,62,0

panduranganath,121,1199,637

OdenMorningstar,11,122,424

aliosma03982377,13,100,1

SomnuzZ,4,181,40

Andyboiee,113,665,134

Eduardo73304471,5,321,4

Zoe30784445,2,136,18

Tremblaymanon6,0,6,0

abhinavtiwary04,0,6,0

13Mantorr,4,250,0

kaka1634,0,64,2

andrew91216103,17,318,54

BerkH87,3,102,0

CAMotoDirect,0,70,10

ManishS94072339,0,21,0

Michael99214974,3,26,0

SantaengSantosh,7,77,6

tangsmm,0,51,0

Einsteiger1,0,39,2

Overhau14027594,2,113,0

Connor15380196,2,134,15

theVisforvibe,0,59,2

xC1MDC0PimEVCqy,0,38,0

prash031293,3,59,0

saiadit96413370,0,6,8

CarryPo52961904,0,8,0

Mark55930886,0,19,0

RowanTandrea,0,45,0

Mhart42817550,0,43,0

Arthur43888218,0,37,0

AnnaWarehamm,0,35,5

speyeralsound,24,199,53

Sifeddine14B,0,18,0

dhakalbibek977,0,9,0

Ikhile19,24,140,158

Indeleble13,8,49,50

zhao38991703,4,158,1

AnkitKo23482660,1,72,0

0xwee00z,53,198,1

maestroins,17,20,17

HugoMartim,112,69,9270

fredyrazo11,371,1640,8488

PALAMPOUGIOUKI1,1,16,0

uhRAYuhLIGHT,6,230,0

VinodKu59868472,3,89,16

Dederdiner,10,74,25

UmmiUma29859163,7,231,19

wfPZdS1Ep2TqVmD,8,72,0

Maria15603028,1,6,0

SumitPa10850904,1,58,0
