screen_name,followers,friends,total_tweets
CHRISTINADABISS,2,75,0

jeevan_2000,1,47,0

merlin_jr,9,479,453

maxalex__,0,99,0

songjmjm,1,107,0

Craig33252300,101,140,232

kingf243,11,94,28

kdhayanand,62,293,20

uvaraj053,4,277,2

KalambeMukul,11,49,2

glonk_,4,86,3

iqrar431,33,265,70

RoryCummins2,1,4,0

