,Unnamed: 0,id,cleaned_word_list,cleaned_word_list_nouns
2524,2524,1222551606639693824,already listened dominic fike hours today,fike hours today
2525,2525,1222549968361181186,one week get show masterpiece made us,week show masterpiece
2526,2526,1222541157273497600,know get enough james scully carmela zumbado,james zumbado
2527,2527,1222538441902129152,right put blacklights bedroom living room kitchen dining room basement bathroom,blacklights bedroom living room kitchen room basement bathroom
2528,2528,1222538233369767936,truly obsessed,
2529,2529,1222537951420338176,preciousss,preciousss
2530,2530,1222534871064678403,need pick morning pls enjoy interview,need pick morning pls enjoy interview
2531,2531,1222520571663192064,stan,stan
2532,2532,1222520520735739906,fully prepared blown away lt,lt
2533,2533,1222520459079692288,reaaaadddyyyy,reaaaadddyyyy
2534,2534,1222520417233121281,wheezes anticipation,wheezes anticipation
2535,2535,1222520344860413953,right go blacklight bowling every day week hair cool,day week hair cool
2536,2536,1222519768994938882,mood halfway week,mood halfway week
2537,2537,1222365777636007941,rt mom waiting couch said home midnight,mom couch home midnight
2538,2538,1222338824090607616,new episode starts right mtv ready,episode mtv
2539,2539,1222323473395007490,new episode starts right mtv,episode mtv
2540,2540,1222308373166788608,giving us good goodbye dropping pics tl meantime,goodbye pics meantime
2541,2541,1222293274561515521,bad bunny celebrates life legacy kobe bryant new song rings,bunny life legacy kobe song rings
2542,2542,1222278176308649986,look fab putting mascara,look mascara
2543,2543,1222273092061483009,soooooosooooooo excited,soooooosooooooo
2544,2544,1222267191426535424,heavy breathing intensifies,breathing intensifies
2545,2545,1222265982196113416,let get car go nowwwww,car
2546,2546,1222265433975291909,every single time,time
2547,2547,1222265380321800195,confirm,confirm
2548,2548,1222262132718391296,madisson able talk situation watch go tonight new episode,madisson talk situation watch episode
2549,2549,1222247978829787136,omw pick girlfriends go tonight told us,pick girlfriends
2550,2550,1222238713973002240,period,period
2551,2551,1222238429611773956,dont know wildddd,dont wildddd
2553,2553,1222238276838416390,ugh yes elle one,
2554,2554,1222238180591751168,gave us bops bops bops,bops bops
2555,2555,1222232931722199040,years ago dropped changed lives,years lives
2556,2556,1222229855800086535,could agree,
2557,2557,1222229733301268481,tysm making smile,tysm
2558,2558,1222229516208234498,correct equation,equation
2559,2559,1222217963756978177,simply could agree,
2560,2560,1222217776783224832,whenever stressed think pic,pic
2561,2561,1222217730956447747,get meeee,meeee
2562,2562,1222217541621293057,wow looks like siblings bc signing mine tooo,looks siblings mine tooo
2563,2563,1222217343956410368,believe capture historic photo,capture photo
